BRAND,MODEL,TRIM,YEAR,IMAGE LINK,NAME,INTERFACE,POWER,CURRENT
Tesla,Model S,100D,2018,https://www.evspecifications.com/images/model/e5d03c/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,48 A
Tesla,Model 3,Performance AWD,2018,https://www.evspecifications.com/images/model/ba6a5b/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,40 A
Tesla,Model 3,Mid Range RWD,2019,https://www.evspecifications.com/images/model/75c55d/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,32 A
Tesla,Model S,Long Range,2019,https://www.evspecifications.com/images/model/b8ea56/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",11 kW,-
Tesla,Model S,Long Range,2019,https://www.evspecifications.com/images/model/b8ea56/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,48 A
Tesla,Model 3,Long Range AWD,2018,https://www.evspecifications.com/images/model/06625a/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,40 A
Tesla,Model S,Performance,2019,https://www.evspecifications.com/images/model/431157/640/main.jpg,Onboard charger,Tesla charging inlet,-,72 A
Tesla,Model S,Performance,2019,https://www.evspecifications.com/images/model/431157/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",11 kW,-
Tesla,Model S,Performance,2019,https://www.evspecifications.com/images/model/431157/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,48 A
Tesla,Model 3,Long Range AWD,2019,https://www.evspecifications.com/images/model/6d235e/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,-
Tesla,Model 3,Long Range AWD,2019,https://www.evspecifications.com/images/model/6d235e/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,40 A
Tesla,Model 3,Standard Range RWD,2019,https://www.evspecifications.com/images/model/bc5896/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,32 A
Tesla,Model 3,Performance AWD,2019,https://www.evspecifications.com/images/model/dbde5f/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,-
Tesla,Model X,Long Range,2019,https://www.evspecifications.com/images/model/78b865/640/main.jpg,Onboard chargers,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",11 kW,-
Tesla,Model 3,Performance AWD,2019,https://www.evspecifications.com/images/model/dbde5f/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,40 A
Tesla,Model X,Long Range,2019,https://www.evspecifications.com/images/model/78b865/640/main.jpg,Onboard charger,Tesla charging inlet,11.52 kW,48 A
Tesla,Model X,Long Range,2019,https://www.evspecifications.com/images/model/78b865/640/main.jpg,Onboard charger,Tesla charging inlet,17.28 kW,72 A
Tesla,Model 3,Standard Range Plus RWD,2019,https://www.evspecifications.com/images/model/bbc397/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,32 A
Tesla,Model X,Performance,2019,https://www.evspecifications.com/images/model/6f3166/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",11 kW,-
Tesla,Model X,Performance,2019,https://www.evspecifications.com/images/model/6f3166/640/main.jpg,Onboard charger,Tesla charging inlet,11.52 kW,48 A
Tesla,Model X,Performance,2019,https://www.evspecifications.com/images/model/6f3166/640/main.jpg,Onboard charger,Tesla charging inlet,17.28 kW,72 A
Volkswagen,e-Golf,SEL Premium,2015,https://www.evspecifications.com/images/model/919771/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2015,https://www.evspecifications.com/images/model/919771/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",7.2 kW,-
Tesla,Model 3,Long Range RWD,2019,https://www.evspecifications.com/images/model/3c3b98/640/main.jpg,Onboard charger,Tesla charging inlet,11.5 kW,32 A
Volkswagen,e-up!,,2016,https://www.evspecifications.com/images/model/c0467a/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",-,7.2 A
Volkswagen,e-Golf,SE,2017,https://www.evspecifications.com/images/model/bee175/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7.2 kW,-
Volkswagen,e-Golf,SE,2016,https://www.evspecifications.com/images/model/cda673/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",7.2 kW,-
Volkswagen,e-up!,,2016,https://www.evspecifications.com/images/model/c0467a/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,7.2 A
Volkswagen,e-Golf,SE,2017,https://www.evspecifications.com/images/model/bee175/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",7.2 kW,-
Volkswagen,e-Golf,SE,2016,https://www.evspecifications.com/images/model/cda673/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
Volkswagen,e-Golf,Limited Edition,2015,https://www.evspecifications.com/images/model/640172/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",7.2 kW,-
